house,district,WSC_25,PRE_24,WSA_24,WSS_24,GOV_22,USS_22,PRE_20,GOV_18,USS_18,PRE_16,USS_16,GOV_14,PRE_12,GOV_12,USS_12
wsa,27,38.434097580914866,34.791377458812434,32.27084219481072,NA,35.2069395986044,33.009924926835474,35.095515512803146,33.20575773938745,39.68485702250429,34.606668778242316,32.139960544998196,30.501765789742592,38.12972615615226,29.678145944301882,37.63361432164034
wsa,28,40.532335204824285,34.44645006016847,33.80355565371025,31.842551561901633,37.31505666472462,35.04502262657985,35.878112712975096,40.37645811240721,45.006228789896475,35.67789894720954,37.54945095574371,39.731557699365595,43.919726845207855,38.53103741583832,45.54812512272361
wsa,29,42.9193512552766,35.81121472979436,35.06637832642518,35.35525436090683,39.830133236726645,36.68758938503099,38.01969022386656,42.33803273696296,50.041199664701494,38.75188725907239,41.26191068437862,43.22223708121885,50.76638770663163,39.8278359132899,50.92563869060013
wsa,30,53.5255191298395,47.74014317768992,45.73558488751136,45.20698334493654,49.826634588168695,48.09336884901164,49.44487256329024,48.84001205182284,52.0741556534508,46.34583563154992,43.48648200364903,43.031828013949585,47.17965940479266,42.29062492803818,48.02277735217884
wsa,31,43.308115651718246,38.556237831361386,36.55220871265351,NA,40.41629647296149,38.15240827373759,39.96862252902416,38.03122136584779,44.58236173858439,38.64786885793966,36.75653258170522,34.52577825652837,42.55360654691782,34.15594988529024,42.16016342081873
wsa,32,40.15326337645194,34.13864104323953,31.988448382212752,NA,36.286240521992845,34.633625036883885,35.482211455897264,37.09909821525612,43.3144940724988,35.52791747095958,34.904734844023494,34.76104594424061,43.012225996661634,35.56301584508655,43.15616052707532
wsa,33,39.67452694438509,35.038426576316006,34.316482392790945,NA,36.41532928492429,34.3179548159227,35.786792088840784,34.57870178358487,40.055583399468084,34.09695370722498,32.50474497245376,31.942936018900564,37.98531573523202,33.43925545690304,38.782524261426374
wsa,34,43.88878726906895,40.02434323967948,35.90498374587248,36.45223161059562,41.691786568880325,39.319295865832224,41.11831698829484,39.256697229745164,45.75933716561226,38.743665801507845,39.13950136465393,40.46641723273638,46.5557568577859,39.27243352400161,47.27412632879418
wsa,35,38.86778581056243,34.57987198692633,32.23353775286511,30.23802283471097,35.72169941876557,33.3561690758375,35.4988110299616,36.48635783229342,45.12041209663716,36.06652831804151,38.75246512695591,38.056973670292685,46.532410388273185,37.81980579833114,48.34890469390547
wsa,36,35.04007503410641,30.692430658776676,29.01929489554536,30.32967032967033,32.87869469266669,30.939938435106306,32.23680304019951,35.69643972517177,43.244081063277406,32.744397085109306,34.36457492011097,38.343780649012835,47.59415142576201,37.42062765978959,48.44038839676978
