house,district,office,year,TOT,DEM,REP,dem_pct,margin
wsa,26,GOV,2022,22610.400091869546,11774.476802939826,10524.319706017455,52.80319410157447,5.5291241722516595
wsa,26,USS,2022,22566.81763895269,11379.39595774001,11122.75149288011,50.5702666054942,1.1372647617664267
wsa,26,PRE,2020,29133,14776,13742,51.8128901044954,3.5492396938180013
wsa,26,GOV,2018,23133,11309,11337,49.938178927845975,-0.12103920805775492
wsa,26,USS,2018,22970,12793,10138,55.78910644978413,11.558554636482372
wsa,26,PRE,2016,26478,12662,11808,51.74499387004495,3.2253191328650233
wsa,26,USS,2016,26284,12372,12903,48.94955489614243,-2.0202404504641613
wsa,26,GOV,2014,21418,9612,11537,45.448957397512885,-8.987767298533939
wsa,26,PRE,2012,28544.726536731618,15657.722291704982,12566.03865505186,55.47709364900992,10.831015083205353
wsa,26,GOV,2012,22941.108416296905,10021.110121914244,12776.013850924175,43.957782279264144,-12.008590339309427
wsa,26,USS,2012,28013.76748996505,14547.789346930316,12546.059170971612,53.69406763058427,7.145522917171898
wsa,27,WSC,2025,26925,10343,16568,38.434097580914866,-23.119777158774372
wsa,27,PRE,2024,38738,13283,24896,34.791377458812434,-29.97831586555837
wsa,27,WSA,2024,37657,12139,25477,32.27084219481072,-35.41970948296465
wsa,27,GOV,2022,31573,10999,20242,35.2069395986044,-29.275013460868465
wsa,27,USS,2022,31482,10377,21059,33.009924926835474,-33.930499968235814
wsa,27,PRE,2020,37538,12952,23953,35.095515512803146,-29.306302946347696
wsa,27,GOV,2018,30751.189685773443,10067.052367238066,20250.136736677177,33.20575773938745,-33.114440363099696
wsa,27,USS,2018,30562.19026763164,12115.068659267688,18413.121608363956,39.68485702250429,-20.607335056632124
wsa,27,PRE,2016,33750.41442369071,10898.12223170653,20593.271237977347,34.606668778242316,-28.7260146929201
wsa,27,USS,2016,33630.41908013667,10495.112918814604,22159.29219198418,32.139960544998196,-34.683419333477346
wsa,27,GOV,2014,29225.18037604223,8826.04596679786,20110.134409244372,30.501765789742592,-38.61084276385445
wsa,27,PRE,2012,34462.237660500636,13005.739333128888,21103.446974337952,38.12972615615226,-23.497335608274682
